t,num_objects,dist_min,dist_p10,dist_p50,dist_p90,rel_speed_p10,rel_speed_p50,rel_speed_p90,rel_speed_max,speed_p10,speed_p50,speed_p90,speed_max,size_p10,size_p50,size_p90,size_max
1789224576173,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177581.48172020912,177581.48172020912,177581.48172020912,177581.48172020912
1789224577564,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,6.781298956701679,6.781298956701679,6.781298956701679,6.781298956701679,181331.07666777447,181331.07666777447,181331.07666777447,181331.07666777447
1789224577608,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,36.56303606822288,36.56303606822288,36.56303606822288,36.56303606822288,181601.3777624704,181601.3777624704,181601.3777624704,181601.3777624704
1789224577653,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,57.34929435749438,57.34929435749438,57.34929435749438,57.34929435749438,178311.22083985247,178311.22083985247,178311.22083985247,178311.22083985247
1789224577697,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,88.72377725593807,88.72377725593807,88.72377725593807,88.72377725593807,174670.11413200572,174670.11413200572,174670.11413200572,174670.11413200572
1789224577738,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,41.504692584184745,41.504692584184745,41.504692584184745,41.504692584184745,173156.86282725912,173156.86282725912,173156.86282725912,173156.86282725912
1789224577782,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,59.92816132206012,59.92816132206012,59.92816132206012,59.92816132206012,174782.81135799363,174782.81135799363,174782.81135799363,174782.81135799363
1789224577826,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,55.78869549682325,55.78869549682325,55.78869549682325,55.78869549682325,173008.56950948946,173008.56950948946,173008.56950948946,173008.56950948946
1789224577867,2.0,79.10130874975883,79.10130874975883,79.10130874975883,79.10130874975883,77.6965171070115,77.6965171070115,77.6965171070115,77.6965171070115,7.769651710701151,38.84825855350575,69.92686539631035,77.6965171070115,20174.24497165815,86496.51271876437,152818.78046587057,169399.34740264714
1789224577912,2.0,78.87985929666691,78.87985929666691,78.87985929666691,78.87985929666691,83.45370213518446,83.45370213518446,83.45370213518446,83.45370213518446,29.125585946409654,47.017622148923714,64.90965835143777,69.38266740206629,20093.501935917233,86637.36911597522,153181.2362960332,169817.2030910477
1789224577955,2.0,80.00338529064298,80.00338529064298,80.00338529064298,80.00338529064298,121.76440660646968,121.76440660646968,121.76440660646968,121.76440660646968,45.13242450349868,62.80453226758064,80.47664003166261,84.8946669726831,19734.9061112429,85831.81403130805,151928.7219513732,168452.9489313895
1789224578004,2.0,80.57895609145454,80.57895609145454,80.57895609145454,80.57895609145454,42.67976177659072,42.67976177659072,42.67976177659072,42.67976177659072,20.485328613936687,21.596405673951566,22.707482733966447,22.985251998970167,19593.814715269767,85361.67823785078,151129.54176043178,167571.50764107704
1789224578050,2.0,82.76998694993186,82.76998694993186,82.76998694993186,82.76998694993186,196.06362973213106,196.06362973213106,196.06362973213106,196.06362973213106,66.98320563140328,105.7656956366973,144.54818564199135,154.24380814331485,19127.226156847086,84160.37264573155,149193.519134616,165451.80575683713
1789224578096,2.0,98.9288141469646,98.9288141469646,98.9288141469646,98.9288141469646,46.18457637270638,46.18457637270638,46.18457637270638,46.18457637270638,4.618457637270638,23.09228818635319,41.566118735435744,46.18457637270638,19433.38870418295,83537.01330661401,147640.63790904506,163666.54405965284
1789224578144,2.0,99.397576126053,99.397576126053,99.397576126053,99.397576126053,12.21829681396404,12.21829681396404,12.21829681396404,12.21829681396404,18.31291354248119,19.460400348801095,20.607887155121,20.894758856700975,19355.82529390268,82965.74725675397,146575.66921960525,162478.14971031807
1789224578191,2.0,99.4218826878139,99.4218826878139,99.4218826878139,99.4218826878139,22.543462283639542,22.543462283639542,22.543462283639542,22.543462283639542,3.9154318456059265,12.260603007651584,20.60577416969724,22.692066960208656,19188.448040118674,82369.2850230087,145550.12200589874,161345.33125162125
1789224578241,2.0,99.37015755604739,99.37015755604739,99.37015755604739,99.37015755604739,26.828638422693263,26.828638422693263,26.828638422693263,26.828638422693263,4.7438682225332105,14.367276026262456,23.990683829991703,26.39653578092401,18968.310702071896,81389.71398921963,143811.11727636735,159416.4680981543
1789224578288,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,18.996297894408023,18.996297894408023,18.996297894408023,18.996297894408023,158115.1921468377,158115.1921468377,158115.1921468377,158115.1921468377
1789224578334,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,10.945636256023128,10.945636256023128,10.945636256023128,10.945636256023128,157524.79853918776,157524.79853918776,157524.79853918776,157524.79853918776
1789224578379,2.0,98.55591609201355,98.55591609201355,98.55591609201355,98.55591609201355,9.92454239012319,9.92454239012319,9.92454239012319,9.92454239012319,3.644849556574593,5.271912436098121,6.898975315621648,7.30574103550253,18751.127314207704,80340.499666024,141929.8720178403,157327.21510579437
1789224578428,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,10.265483865555746,10.265483865555746,10.265483865555746,10.265483865555746,157498.04148247093,157498.04148247093,157498.04148247093,157498.04148247093
1789224578475,2.0,98.43585672986666,98.43585672986666,98.43585672986666,98.43585672986666,6.347387349013534,6.347387349013534,6.347387349013534,6.347387349013534,5.017184264994884,5.687586923149341,6.357989581303797,6.525590245842411,18752.210238824504,80448.64905427257,142145.08786972062,157569.19757358264
1789224578524,2.0,98.21399329027845,98.21399329027845,98.21399329027845,98.21399329027845,4.533393980210433,4.533393980210433,4.533393980210433,4.533393980210433,6.301514291653023,7.199210263357006,8.09690623506099,8.321330227986985,18679.432810655053,80401.94553930219,142124.45826794935,157555.08645011112
1789224578568,2.0,98.7441820007291,98.7441820007291,98.7441820007291,98.7441820007291,12.513668733864112,12.513668733864112,12.513668733864112,12.513668733864112,6.212104017755519,6.303243462827129,6.394382907898739,6.417167769166641,18834.24113461645,80871.32919364655,142908.41725267665,158417.68926743418
1789224578610,2.0,98.8538148611229,98.8538148611229,98.8538148611229,98.8538148611229,3.663991749233831,3.663991749233831,3.663991749233831,3.663991749233831,2.4524473154236968,2.895601340221469,3.3387553650192405,3.4495438712186837,18875.805715411392,80983.86714775418,143091.92858009698,158618.94393818267
1789224578653,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,4.150756872205296,4.150756872205296,4.150756872205296,4.150756872205296,158739.84206154943,158739.84206154943,158739.84206154943,158739.84206154943
1789224578695,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,4.915840493058062,4.915840493058062,4.915840493058062,4.915840493058062,158676.86883721128,158676.86883721128,158676.86883721128,158676.86883721128
1789224578739,2.0,97.72259079415831,97.72259079415831,97.72259079415831,97.72259079415831,20.73824394705557,20.73824394705557,20.73824394705557,20.73824394705557,3.7406134165425873,10.42904096115951,17.117468505776433,18.78957539193066,18677.003928673643,80303.06555481441,141929.1271809552,157335.64258749038
1789224578780,2.0,97.24629408992926,97.24629408992926,97.24629408992926,97.24629408992926,11.680220768890255,11.680220768890255,11.680220768890255,11.680220768890255,1.9396854098521752,6.328640964944678,10.717596520037182,11.814835408810307,18619.564356204493,80114.85868284293,141610.15300948135,156983.97659114096
1789224578824,2.0,97.9166495651758,97.9166495651758,97.9166495651758,97.9166495651758,17.41022071403615,17.41022071403615,17.41022071403615,17.41022071403615,7.550647833066354,9.392120037269887,11.233592241473417,11.6939602925243,18691.270881373133,80338.73364279361,141986.19640421408,157398.0620945692
1789224578869,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,9.398348804346734,9.398348804346734,9.398348804346734,9.398348804346734,156843.3222197201,156843.3222197201,156843.3222197201,156843.3222197201
1789224578917,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,4.27543522653563,4.27543522653563,4.27543522653563,4.27543522653563,156596.55476320535,156596.55476320535,156596.55476320535,156596.55476320535
1789224578968,2.0,96.91109364289528,96.91109364289528,96.91109364289528,96.91109364289528,18.01730662973124,18.01730662973124,18.01730662973124,18.01730662973124,3.849503359575894,9.301027197879538,14.752551036183185,16.115431995759096,18768.59866922861,80836.26345531968,142903.92824141076,158420.84443793353
1789224579018,2.0,96.9192149627571,96.9192149627571,96.9192149627571,96.9192149627571,8.414345125093478,8.414345125093478,8.414345125093478,8.414345125093478,7.622462099225327,10.921067061466406,14.219672023707487,15.044323264267756,18553.14651932167,80179.47614295641,141805.80576659116,157212.38817249984
1789224579065,2.0,96.64644463832067,96.64644463832067,96.64644463832067,96.64644463832067,23.45588763536803,23.45588763536803,23.45588763536803,23.45588763536803,7.18260282236079,11.934388194949577,16.68617356753836,17.874119910685557,18739.65208206512,80930.73292476125,143121.81376745738,158669.5839781314
1789224579110,2.0,96.37108638408232,96.37108638408232,96.37108638408232,96.37108638408232,6.526952838584771,6.526952838584771,6.526952838584771,6.526952838584771,4.832182615530181,6.96309695722316,9.094011298916138,9.626739884339383,18821.18520694084,81189.14016312116,143557.0951193015,159149.08385834657
1789224579158,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,11.8224085942313,11.8224085942313,11.8224085942313,11.8224085942313,158758.19507806748,158758.19507806748,158758.19507806748,158758.19507806748
1789224579199,2.0,95.17912626157394,95.17912626157394,95.17912626157394,95.17912626157394,13.637289559659784,13.637289559659784,13.637289559659784,13.637289559659784,3.678109337726214,6.9355489605782985,10.192988583430383,11.007348489143403,18709.162717480027,80719.43221381959,142729.70171015913,158232.26908424404
1789224579245,2.0,94.95710364225073,94.95710364225073,94.95710364225073,94.95710364225073,5.691828106710197,5.691828106710197,5.691828106710197,5.691828106710197,1.636961264501344,2.877966534051391,4.118971803601438,4.42922312098895,18680.577308694694,80597.98063032725,142515.3839519598,157994.73478236794
1789224579288,2.0,95.36771577212556,95.36771577212556,95.36771577212556,95.36771577212556,9.58432891483932,9.58432891483932,9.58432891483932,9.58432891483932,6.563747264077032,8.443860651010345,10.323974037943659,10.794002384676986,18690.630876302534,80594.87612564769,142499.12137499283,157975.18268732913
1789224579333,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,5.434687606203985,5.434687606203985,5.434687606203985,5.434687606203985,157696.41520890966,157696.41520890966,157696.41520890966,157696.41520890966
1789224579376,2.0,95.40830481373744,95.40830481373744,95.40830481373744,95.40830481373744,10.103352671555887,10.103352671555887,10.103352671555887,10.103352671555887,4.198802542490471,5.767423713770825,7.336044885051179,7.728200177871268,18723.850638110052,80574.2300399926,142424.60944187516,157887.2042923458
1789224579419,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,3.874381659256275,3.874381659256275,3.874381659256275,3.874381659256275,158121.97055592947,158121.97055592947,158121.97055592947,158121.97055592947
1789224579459,2.0,95.33188340395515,95.33188340395515,95.33188340395515,95.33188340395515,8.551590961611502,8.551590961611502,8.551590961611502,8.551590961611502,2.783115072686539,6.1524528140201085,9.521790555353679,10.36412499068707,18689.427860010786,80409.61532571353,142129.80279141627,157559.84965784196
1789224579501,2.0,95.21212136380653,95.21212136380653,95.21212136380653,95.21212136380653,3.3190357149472236,3.3190357149472236,3.3190357149472236,3.3190357149472236,1.1869259309056215,2.4928322893487262,3.7987386477918306,4.125215237402607,18661.78601097905,80291.56640741474,141921.34680385044,157328.79190295935
1789224579547,2.0,95.30917095504562,95.30917095504562,95.30917095504562,95.30917095504562,3.0655072885099552,3.0655072885099552,3.0655072885099552,3.0655072885099552,3.1768670071854506,3.3287087212034843,3.480550435221518,3.5185108637260263,18635.618242748504,80341.75481788837,142047.89139302826,157474.4255368132
1789224579595,2.0,95.34473938092692,95.34473938092692,95.34473938092692,95.34473938092692,3.345200067462118,3.345200067462118,3.345200067462118,3.345200067462118,2.898266376638847,2.902995943673491,2.907725510708136,2.908907902466797,18662.943838222323,80515.03047450632,142367.1171107903,157830.1387698613
1789224579646,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,3.5361190758156287,3.5361190758156287,3.5361190758156287,3.5361190758156287,158333.81862686947,158333.81862686947,158333.81862686947,158333.81862686947
1789224579750,2.0,95.55747051820254,95.55747051820254,95.55747051820254,95.55747051820254,5.413868050138905,5.413868050138905,5.413868050138905,5.413868050138905,2.7909519899406936,2.9693326010663936,3.147713212192094,3.192308364973519,18716.344208752387,80740.79334210895,142765.24247546552,158271.35475880466
1789224579830,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,8.086296307771432,8.086296307771432,8.086296307771432,8.086296307771432,158602.70264218003,158602.70264218003,158602.70264218003,158602.70264218003
1789224579924,2.0,94.97431000544081,94.97431000544081,94.97431000544081,94.97431000544081,9.951358588563057,9.951358588563057,9.951358588563057,9.951358588563057,3.0997201850854186,5.433158490385393,7.766596795685369,8.349956372010363,18398.05821127356,79059.4407670733,139720.82332287304,154886.168961823
1789224580004,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,4.174532030917196,4.174532030917196,4.174532030917196,4.174532030917196,155182.47475092765,155182.47475092765,155182.47475092765,155182.47475092765
1789224580083,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,25.72680504604748,25.72680504604748,25.72680504604748,25.72680504604748,155510.79058659077,155510.79058659077,155510.79058659077,155510.79058659077
1789224580162,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,23.412483023754774,23.412483023754774,23.412483023754774,23.412483023754774,160250.83621233143,160250.83621233143,160250.83621233143,160250.83621233143
1789224580241,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,20.293357675609347,20.293357675609347,20.293357675609347,20.293357675609347,162372.44846493937,162372.44846493937,162372.44846493937,162372.44846493937
1789224580335,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,13.227467096296573,13.227467096296573,13.227467096296573,13.227467096296573,161403.09463310894,161403.09463310894,161403.09463310894,161403.09463310894
1789224580429,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,11.10562968102191,11.10562968102191,11.10562968102191,11.10562968102191,161561.4281799998,161561.4281799998,161561.4281799998,161561.4281799998
1789224580507,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,106.14854015589654,106.14854015589654,106.14854015589654,106.14854015589654,161610.53489609621,161610.53489609621,161610.53489609621,161610.53489609621
1789224580586,1.0,7777777.0,7777777.0,7777777.0,7777777.0,0.0,0.0,0.0,0.0,70.22450719010712,70.22450719010712,70.22450719010712,70.22450719010712,154325.13564863428,154325.13564863428,154325.13564863428,154325.13564863428
